20100104|IJR|100|82080|N
20100104|IJS|5155|5155|N
20100104|IJT|6394|6394|N
20100104|IWM|530605|637819|N
20100104|IWN|39942|42878|N
20100104|SCHA|2200|2200|N
20100104|SCHB|6600|6600|N
20100104|UWM|17700|27000|N
20100104|VTI|27255|27555|N
20100104|VXF|300|300|N
20100104|XRT|67269|92339|N
20100105|IJR|126400|128200|N
20100105|IJS|4200|4200|N
20100105|IWC|2600|2600|N
20100105|IWM|295000|332553|N
20100105|IWN|19200|19800|N
20100105|UWM|21828|29400|N
20100105|VBR|100|4108|N
20100105|XRT|104657|143657|N
20100106|IJR|2100|4600|N
20100106|IWM|505482|668530|N
20100106|IWN|9351|10251|N
20100106|UWM|3500|6600|N
20100106|VB|1200|1200|N
20100106|VTI|82700|85200|N
20100106|XRT|266290|284613|N
20100107|IJR|4400|19868|N
20100107|IJS|100|300|N
20100107|IWM|550846|802606|N
20100107|IWN|10000|10800|N
20100107|UWM|1100|1800|N
20100107|VB|2400|2400|N
20100107|VTI|4497|4497|N
20100107|XRT|119277|166452|N
20100108|IWC|300|900|N
20100108|IWM|299477|515484|N
20100108|IWN|24700|26800|N
20100108|UWM|3941|8441|N
20100108|VB|1800|1800|N
20100108|XRT|223542|236983|N
20100111|IJR|6700|13602|N
20100111|IWM|517093|604505|N
20100111|IWN|2500|6600|N
20100111|UWM|3968|4268|N
20100111|VB|3600|3600|N
20100111|XRT|77550|87850|N
20100112|IJR|13700|18011|N
20100112|IJT|4100|13600|N
20100112|IWM|462540|501214|N
20100112|IWN|19000|19400|N
20100112|UWM|900|1000|N
20100112|VB|1600|1600|N
20100112|VTI|3200|3200|N
20100112|XRT|160052|204162|N
20100113|IJT|2100|2300|N
20100113|IWC|300|1109|N
20100113|IWM|260635|601017|N
20100113|IWN|1000|1000|N
20100113|UWM|2500|5091|N
20100113|VB|1520|1520|N
20100113|XRT|212700|396913|N
20100114|IJR|4300|4300|N
20100114|IWM|241837|321610|N
20100114|IWN|700|700|N
20100114|RWJ|1200|1200|N
20100114|UWM|13500|30070|N
20100114|VB|600|600|N
20100114|VTI|700|800|N
20100114|XRT|238200|290556|N
20100115|IJR|36300|36300|N
20100115|IJS|100|100|N
20100115|IJT|100|1700|N
20100115|IWM|447266|572111|N
20100115|IWN|19600|19700|N
20100115|UWM|21200|37281|N
20100115|VB|900|15841|N
20100115|VTI|6200|6300|N
20100115|XRT|100600|159254|N
20100119|IJR|4900|6600|N
20100119|IJS|100|500|N
20100119|IWM|260082|399475|N
20100119|IWN|1356|1356|N
20100119|IWV|400|400|N
20100119|SCHA|5700|5700|N
20100119|UWM|2200|5141|N
20100119|VB|1500|1500|N
20100119|VBR|500|1450|N
20100119|VTI|900|900|N
20100119|XRT|58100|64540|N
20100120|IJR|500|2700|N
20100120|IJS|2800|2800|N
20100120|IJT|200|200|N
20100120|IWM|335536|457890|N
20100120|IWN|2700|3512|N
20100120|UWM|4600|11300|N
20100120|XRT|138631|189859|N
20100121|IJR|15760|15760|N
20100121|IJT|100|100|N
20100121|IWM|380685|536137|N
20100121|IWN|80500|82150|N
20100121|IWV|2000|2400|N
20100121|UWM|1000|4923|N
20100121|VTI|119|5219|N
20100121|XRT|436633|507833|N
20100122|IJR|2700|2700|N
20100122|IJT|3200|3806|N
20100122|IWM|1270049|1425421|N
20100122|IWN|19300|19400|N
20100122|IWV|6000|13100|N
20100122|RWJ|200|200|N
20100122|UWM|300|2000|N
20100122|VTI|100|3200|N
20100122|VXF|2500|2500|N
20100122|XRT|218279|271725|N
20100125|IJR|1200|1200|N
20100125|IWM|830967|890440|N
20100125|IWN|21500|22400|N
20100125|UWM|4200|5500|N
