20130726|GAMR|25000|0|35205|O
20130726|ISCB|5900|0|20500|O
20130807|GAMR|30000|0|93600|O
20130809|GAMR|2500|0|12000|O
20130812|GAMR|6500|0|7600|O
20130812|ISCB|200|0|6726|O
20130814|GAMR|1000|0|3750|O
20130815|GAMR|28500|0|80200|O
20130820|GAMR|1500|0|1500|O
20130821|ISCB|300|0|775|O
20130822|GAMR|13602|0|19102|O
20130823|GAMR|19070|0|113029|O
20130823|ISCB|150|0|400|O
20130830|GAMR|60000|0|316204|O
20130903|GAMR|25000|0|61000|O
20130905|GAMR|4000|0|8179|O
20130925|GAMR|10000|0|10000|O
20130926|GAMR|10000|0|32500|O
20130930|ISCB|375|0|375|O
20131007|GAMR|26200|0|26200|O
20131007|ISCB|6200|0|7164|O
20131014|GAMR|25000|0|27700|O
20131016|GAMR|1500|0|2512|O
20131105|GAMR|66000|0|94000|O
20131108|GAMR|10000|0|10000|O
20131111|GAMR|8000|0|17750|O
20131122|GAMR|7489|0|11489|O
20131127|GAMR|530|0|6530|O
20131203|GAMR|11000|0|22000|O
20131209|GAMR|6000|0|22000|O
20131209|PSCD|3160|0|8035|O
20131209|VTHR|660|0|660|O
20131209|VTWO|6703|0|17546|O
20131209|VTWV|8900|0|8900|O
20131210|GAMR|200|0|200|O
20131212|GAMR|87500|0|223212|O
20131230|GAMR|10780|0|140330|O
20131231|GAMR|10500|0|41350|O
20140102|GAMR|1000|0|1400|O
20140106|GAMR|3200|0|4200|O
20140107|ISCB|100|0|300|O
20140109|GAMR|7600|0|9600|O
20140122|ISCB|200|0|200|O
20140211|GAMR|13000|0|13000|O
20140212|GAMR|13000|0|13000|O
20140225|GAMR|1200|0|1700|O
20140305|ISCB|900|0|1000|O
20140306|GAMR|2000|0|14500|O
20140310|GAMR|5500|0|5500|O
20140331|GAMR|4000|0|7500|O
20140403|GAMR|100|0|2600|O
20140408|ISCB|200|0|200|O
20140520|GAMR|77000|0|309886|O
20140521|GAMR|65000|0|108000|O
20140522|GAMR|105844|0|157422|O
20140523|GAMR|42062|0|77574|O
20140527|GAMR|62400|0|138065|O
20140527|ISCB|100|0|373|O
20140528|GAMR|17700|0|68600|O
20140529|GAMR|89900|0|124800|O
20140530|GAMR|24200|0|83591|O
20140602|GAMR|54976|0|199584|O
20140602|ISCB|200|0|1950|O
20140604|ISCB|500|0|755|O
20140623|ISCB|100|0|100|O
20140624|ISCB|100|0|455|O
20140630|GAMR|1000|0|2482|O
20140701|GAMR|5200|0|8602|O
20140702|GAMR|1500|0|1600|O
20140707|GAMR|200|0|200|O
20140708|GAMR|4600|0|14100|O
20140709|GAMR|100|0|4100|O
20140715|GAMR|142|0|142|O
20140716|GAMR|2200|0|2700|O
20140717|GAMR|1000|0|1000|O
20140721|GAMR|171|0|342|O
20140725|GAMR|1800|0|7150|O
20140730|GAMR|125|0|473|O
20140731|GAMR|500|0|1199|O
20140812|ISCB|300|0|1308|O
20140822|GAMR|100|0|1800|O
20140822|ISCB|250|0|550|O
20140825|GAMR|100|0|2550|O
20140826|GAMR|100|0|1300|O
20140827|ISCB|200|0|200|O
20140828|GAMR|200|0|400|O
20140912|GAMR|150|0|7150|O
20140918|GAMR|204|0|204|O
20140924|GAMR|255|0|605|O
20140930|ISCB|100|0|1050|O
20141104|GAMR|175|0|1803|O
20150223|ISCB|241|0|3239|O
20150226|ISCB|600|0|700|O
20150303|ISCB|200|0|200|O
20150306|ISCB|400|0|563|O
20150316|ISCB|200|0|245|O
20150326|ISCB|150|0|350|O
20150402|ISCB|100|0|150|O
20150408|ISCB|423|0|933|O
20150413|ISCB|100|0|682|O
20150629|ISCB|14|0|28|O
20150630|ISCB|8|0|10|O
20150708|ISCB|750|0|750|O
20150803|ISCB|13|0|1613|O
20150819|ISCB|26|0|141|O
20151005|ISCB|2000|0|2172|O
20151209|ISCB|1500|0|1800|O
20160128|ISCB|500|0|2888|O
20160412|ISCB|100|0|100|O
20160418|ISCB|50|0|50|O
20160510|ISCB|90|0|356|O
20160615|ISCB|12|0|112|O
20160629|ISCB|28|0|58|O
20161111|ISCB|100|0|425|O
20161114|ISCB|25|0|826|O
20161121|ISCB|157|0|257|O
20161123|ISCB|45|0|420|O
20161209|ISCB|100|0|1100|O
20161215|ISCB|76|0|76|O
20161216|ISCB|300|0|301|O
20161219|ISCB|100|0|200|O
20170127|ISCB|19|0|19|O
20170222|ISCB|150|0|150|O
20170223|ISCB|500|0|632|O
20170315|ISCB|500|0|1150|O
20170324|ISCB|200|0|237|O
20170329|ISCB|1000|0|2400|O
20170417|ISCB|100|0|100|O
20170418|ISCB|100|0|350|O
20170424|ISCB|1000|0|1000|O
20170530|ISCB|500|0|1100|O
20170629|ISCB|24|0|24|O
20170719|ISCB|1000|0|3000|O
20170725|ISCB|1000|0|1000|O
20170815|ISCB|100|0|100|O
20171006|ISCB|100|0|100|O
20171026|ISCB|300|0|352|O
20171130|ISCB|200|0|300|O
20171206|ISCB|126|0|126|O
20171215|ISCB|1825|0|7750|O
20180108|ISCB|150|0|150|O
20180116|ISCB|200|0|1200|O
20180124|ISCB|100|0|100|O
20180125|ISCB|100|0|100|O
20180130|ISCB|200|0|601|O
20180131|ISCB|200|0|251|O
20180208|ISCB|500|0|5137|O
20180216|ISCB|1700|0|3324|O
20180319|ISCB|200|0|200|O
20180416|ISCB|220|0|440|O
20180507|ISCB|10|0|10|O
20180510|ISCB|10|0|19|O
20180601|ISCB|900|0|1500|O
20180607|ISCB|2300|0|3000|O
20180618|ISCB|75|0|150|O
20180628|ISCB|7|0|14|O
20180702|ISCB|101|0|201|O
20180709|ISCB|1042|0|1117|O
20180710|ISCB|10|0|1968|O
20180810|ISCB|150|0|150|O
20180904|ISCB|1500|0|2535|O
20180912|ISCB|100|0|100|O
20180920|ISCB|3015|0|3015|O
20180921|ISCB|500|0|600|O
20181004|ISCB|3100|0|8202|O
20181008|ISCB|8|0|10|O
20181012|ISCB|275|0|575|O
20181102|ISCB|6500|0|6700|O
20181105|ISCB|5600|0|9300|O
20181112|ISCB|355|0|1855|O
