Date|Symbol|Short Volume|Short Exempt Volume|Total Volume|Market Center
20141107|FEX|970|970|970|D
20141110|FEX|2092|1437|2308|D
20141111|FEX|601|501|901|D
20141112|FEX|386|386|386|D
20141113|FEX|294|294|294|D
20141114|FEX|500|0|500|D
20141117|FEX|881|881|881|D
20141118|FEX|1422|1273|1585|D
20141119|FEX|4327|362|4327|D
20141120|FEX|525|185|925|D
20141121|FEX|100|100|100|D
20141124|FEX|7500|7100|7600|D
20141126|FEX|6400|6400|6400|D
20141128|FEX|200|200|200|D
20141201|FEX|602|100|702|D
20141202|FEX|100|0|521|D
20141203|FEX|50|0|50|D
20141205|FEX|100|0|100|D
20141209|FEX|400|0|500|D
20141210|FEX|1200|600|1900|D
20141211|FEX|842|616|1004|D
20141212|FEX|4604|795|4903|D
20141215|FEX|2200|0|2400|D
20141217|FEX|249|0|841|D
20141218|FEX|14100|13900|14200|D
20141219|FEX|2162|1607|2362|D
20141222|FEX|5420|5420|5420|D
20141223|FEX|500|500|500|D
20141224|FEX|732|732|732|D
20141226|FEX|454|454|554|D
20141229|FEX|2015|2015|2015|D
20141230|FEX|1784|1200|1784|D
20141231|FEX|3014|2764|3014|D
20150102|FEX|100|0|1400|D
20150105|FEX|389|89|589|D
20150106|FEX|200|0|300|D
20150107|FEX|270|0|1034|D
20150109|FEX|250|100|281|D
20150112|FEX|800|0|800|D
20150113|FEX|1300|0|1300|D
20150114|FEX|3100|0|3637|D
20150115|FEX|612|229|662|D
20150116|FEX|150|100|150|D
20150120|FEX|1756|1503|2011|D
20150121|FEX|500|100|730|D
20150122|FEX|400|400|485|D
20150123|FEX|800|600|800|D
20150127|FEX|1110|1060|1110|D
20150128|FEX|1138|800|1288|D
20150129|FEX|2109|1878|2509|D
20150130|FEX|1070|970|1070|D
20140613|FNDB|278|0|278|D
20140813|FNDB|100|0|200|D
20140908|FNDB|192|0|192|D
20140923|FNDB|700|0|700|D
20140924|FNDB|100|0|100|D
20141021|FNDB|895|0|895|D
20141106|FNDB|300|0|1000|D
20141121|FNDB|100|0|100|D
20141219|FNDB|100|0|100|D
20141231|FNDB|300|0|300|D
20150105|FNDB|200|0|200|D
20150106|FNDB|376|0|376|D
20150107|FNDB|792|0|792|D
20150108|FNDB|352|0|352|D
20150109|FNDB|134|0|134|D
20150115|FNDB|100|0|100|D
20150121|FNDB|300|0|300|D
20150123|FNDB|200|0|200|D
20140731|FNDX|100|0|100|D
20140909|FNDX|100|0|200|D
20140917|FNDX|200|0|200|D
20140918|FNDX|100|0|100|D
20140924|FNDX|4900|0|4900|D
20141024|FNDX|100|0|100|D
20141112|FNDX|400|0|400|D
20141121|FNDX|1310|0|1600|D
20141216|FNDX|200|0|200|D
20150107|FNDX|198|0|198|D
20150108|FNDX|5724|0|5724|D
20150109|FNDX|820|0|820|D
20150114|FNDX|1504|0|1504|D
20150115|FNDX|900|0|1527|D
20150122|FNDX|100|0|100|D
20150123|FNDX|100|0|100|D
20150127|FNDX|100|0|100|D
20150130|FNDX|100|0|100|D
20140513|FTC|100|0|100|D
20140613|FTC|100|0|100|D
20140619|FTC|100|0|100|D
20140627|FTC|30|0|30|D
20140630|FTC|21|0|21|D
20140707|FTC|300|0|300|D
20140709|FTC|193|0|300|D
20140718|FTC|7|0|7|D
20140731|FTC|40|0|40|D
20140805|FTC|46|0|146|D
20140807|FTC|1000|1000|1000|D
20140808|FTC|670|670|670|D
20140811|FTC|1000|1000|1000|D
20140812|FTC|100|100|354|D
20140813|FTC|500|500|500|D
20140818|FTC|500|500|500|D
20140819|FTC|473|100|473|D
20140820|FTC|100|100|100|D
20140825|FTC|66|66|66|D
20140826|FTC|300|300|300|D
20140829|FTC|100|100|100|D
20140909|FTC|200|200|200|D
20140910|FTC|350|350|1023|D
20140911|FTC|140|0|140|D
20140912|FTC|130|130|150|D
20140919|FTC|399|99|399|D
20140922|FTC|800|0|800|D
20140929|FTC|600|0|700|D
20140930|FTC|918|18|918|D
20141001|FTC|816|429|816|D
20141003|FTC|200|0|862|D
20141006|FTC|2600|2600|4700|D
20141007|FTC|200|0|1419|D
20141009|FTC|1259|1259|1259|D
20141010|FTC|500|0|500|D
20141013|FTC|151|51|339|D
20141015|FTC|465|465|3713|D
20141016|FTC|607|131|1607|D
20141021|FTC|100|0|573|D
20141022|FTC|100|0|400|D
20141024|FTC|3133|3133|3133|D
20141027|FTC|900|700|1200|D
20141028|FTC|1000|1000|1000|D
20141030|FTC|1255|1055|1255|D
20141031|FTC|20715|100|20715|D
20141103|FTC|2385|1685|2585|D
20141104|FTC|200|200|200|D
20141105|FTC|1026|1026|1026|D
20141107|FTC|100|0|100|D
20141112|FTC|200|0|200|D
20141113|FTC|700|500|700|D
20141118|FTC|200|0|200|D
20141119|FTC|800|0|7685|D
20141121|FTC|600|0|1060|D
20141124|FTC|300|0|1100|D
20141125|FTC|55|0|155|D
20141126|FTC|1680|681|1681|D
20141128|FTC|2594|2594|2594|D
20141202|FTC|341|341|341|D
20141204|FTC|1772|0|1772|D
20141210|FTC|100|0|300|D
20141215|FTC|200|0|200|D
20141216|FTC|100|0|100|D
20141218|FTC|7794|7794|7794|D
20141231|FTC|500|500|500|D
20150102|FTC|110|10|110|D
20150105|FTC|200|200|200|D
20150106|FTC|3508|800|8488|D
20150107|FTC|100|0|600|D
20150121|FTC|200|0|300|D
20150130|FTC|100|0|100|D
20100106|IJR|400|0|600|D
20100111|IJR|100|0|100|D
20100112|IJR|2800|0|3100|D
20100113|IJR|100|0|100|D
20100120|IJR|9400|0|11500|D
20100121|IJR|2100|0|2100|D
20100202|IJR|1000|0|1000|D
20100203|IJR|700|0|1000|D
20100205|IJR|2300|0|3600|D
20100210|IJR|1100|0|1100|D
20100211|IJR|500|0|1100|D
20100212|IJR|400|0|600|D
20100216|IJR|400|0|500|D
20140509|IJR|1187|0|4914|D
20140512|IJR|660|0|5064|D
20140513|IJR|2413|0|2823|D
20140514|IJR|1749|0|5848|D
20140515|IJR|1283|0|5810|D
20140516|IJR|628|0|4087|D
20140519|IJR|610|0|2685|D
20140520|IJR|959|0|1806|D
20140521|IJR|2271|0|9708|D
20140522|IJR|1372|0|4002|D
20140523|IJR|524|0|1886|D
20140527|IJR|3157|0|4640|D
20140528|IJR|2296|0|3911|D
20140529|IJR|3197|0|4815|D
20140530|IJR|2665|0|6584|D
20140602|IJR|356|0|1637|D
20140603|IJR|1072|0|2236|D
20140604|IJR|727|0|3053|D
20140605|IJR|1749|0|2582|D
20140606|IJR|6055|0|6655|D
20140609|IJR|1736|0|2098|D
20140610|IJR|4922|0|20445|D
20140611|IJR|14579|0|16057|D
20140612|IJR|2818|0|5528|D
20140613|IJR|12303|0|15361|D
20140616|IJR|743|0|1650|D
20140617|IJR|904|0|3073|D
20140618|IJR|458|0|1623|D
20140619|IJR|992|0|2193|D
20140620|IJR|2494|0|3235|D
20140623|IJR|15899|0|17297|D
20140624|IJR|2876|0|5963|D
20140625|IJR|2058|0|3978|D
20140626|IJR|2267|0|3002|D
20140627|IJR|566|0|2154|D
20140630|IJR|1710|0|4009|D
20140701|IJR|1155|0|1508|D
20140702|IJR|4173|0|5065|D
20140703|IJR|1383|0|1746|D
20140707|IJR|2940|0|3521|D
20140708|IJR|398|0|4073|D
